tissue	num_cells	num_genes	preview	category_interest
d5452b83-7c3d-4d7c-ab7a-c7fece7196c5	1533	30171	8 subtypes in cell_type	cell_type
d7d7e89c-c93a-422d-8958-9b4a90b69558	2850	15744	15 subtypes in cell_type	cell_type
d8da613f-e681-4c69-b463-e94f5e66847f	3000	29625	30 subtypes in cell_type	cell_type
db1d2c1b-2ee1-45d5-9d53-69a327cd77e6	1065	33068	5 subtypes in cell_type	cell_type
dd03ce70-3243-4c96-9561-330cc461e4d7	1263	34100	6 subtypes in cell_type	cell_type
de94c504-4b58-4f42-b68d-74a8e4892f0e	2220	17634	6 subtypes in cell_type	cell_type
dfdf1ae2-d624-4004-9353-f18b902f6bca	3010	16791	7 subtypes in cell_type	cell_type
e067e5ca-e53e-485f-aa8e-efd5435229c8	2730	25932	13 subtypes in cell_type	cell_type
e47c65a8-7d2f-48b8-908e-04ea6505fa26	3000	22098	3 subtypes in cell_type	cell_type
e5233a94-9e43-418c-8209-6f1400c31530	3100	24588	31 subtypes in cell_type	cell_type
e8681d74-ac9e-4be5-be14-1cf1bbd54dd7	1729	33861	11 subtypes in cell_type	cell_type
ecd9230d-c571-4dab-abd3-8b54c74833f0	1371	34138	12 subtypes in cell_type	cell_type
ed11cc3e-2947-407c-883c-c53b043917c3	1095	29052	8 subtypes in cell_type	cell_type
ed33c203-233a-476a-a56b-28da945fdd32	1238	32987	7 subtypes in cell_type	cell_type
ee195b7d-184d-4dfa-9b1c-51a7e601ac11	1040	16664	10 subtypes in cell_type	cell_type
f171db61-e57e-4535-a06a-35d8b6ef8f2b	2272	24176	4 subtypes in cell_type	cell_type
f20f44ef-a0d4-4d94-87de-037fd47141f0	1176	32016	6 subtypes in cell_type	cell_type
f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb	1505	36794	8 subtypes in cell_type	cell_type
f3565fda-499a-4d20-bd92-563c09954c42	1887	32368	9 subtypes in cell_type	cell_type
f502c312-05dc-4fd4-a762-92a63e92b539	1285	34648	5 subtypes in cell_type	cell_type
f54647ec-0c03-4775-8dac-5a477c10a3f5	2287	13778	10 subtypes in cell_type	cell_type
f5a04dff-d394-4023-8811-65494e8bb11d	1535	33841	7 subtypes in cell_type	cell_type
f801b7a9-80a6-4d09-9161-71474deb58ae	1921	18298	19 subtypes in cell_type	cell_type
f8dda921-5fb4-4c94-a654-c6fc346bfd6d	1095	33476	5 subtypes in cell_type	cell_type
f9034091-2e8f-4ac6-9874-e7b7eb566824	1904	32255	11 subtypes in cell_type	cell_type
fa554686-fc07-44dd-b2de-b726d82d26ec	1280	32762	5 subtypes in cell_type	cell_type
faed4f71-6b50-4fc7-bd1c-8f385dccfdce	2184	14279	3 subtypes in cell_type	cell_type
fbf173f9-f809-4d84-9b65-ae205d35b523	2311	27583	7 subtypes in cell_type	cell_type
fe4b89d5-461e-440c-a5a8-621b37b122c0	3040	20346	8 subtypes in cell_type	cell_type
ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded	1530	33355	5 subtypes in cell_type	cell_type
